building_stock,building_stock_year,shapefile_path,raster_weight_path,notes
AmBIENCe_2016_AT_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/AT.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_AT_res,2016,../AmBIENCe2ABM/data_sources/eurostat/AT.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_BE_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/BE.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_BE_res,2016,../AmBIENCe2ABM/data_sources/eurostat/BE.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_BG_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/BG.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_BG_res,2016,../AmBIENCe2ABM/data_sources/eurostat/BG.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_CY_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/CY.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_CY_res,2016,../AmBIENCe2ABM/data_sources/eurostat/CY.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_CZ_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/CZ.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_CZ_res,2016,../AmBIENCe2ABM/data_sources/eurostat/CZ.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_DE_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/DE.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_DE_res,2016,../AmBIENCe2ABM/data_sources/eurostat/DE.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_DK_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/DK.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_DK_res,2016,../AmBIENCe2ABM/data_sources/eurostat/DK.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_EE_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/EE.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_EE_res,2016,../AmBIENCe2ABM/data_sources/eurostat/EE.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_EL_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/EL.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_EL_res,2016,../AmBIENCe2ABM/data_sources/eurostat/EL.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_ES_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/ES.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_ES_res,2016,../AmBIENCe2ABM/data_sources/eurostat/ES.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_FI_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/FI.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_FI_res,2016,../AmBIENCe2ABM/data_sources/eurostat/FI.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_FR_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/FR.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_FR_res,2016,../AmBIENCe2ABM/data_sources/eurostat/FR.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_HR_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/HR.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_HR_res,2016,../AmBIENCe2ABM/data_sources/eurostat/HR.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_HU_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/HU.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_HU_res,2016,../AmBIENCe2ABM/data_sources/eurostat/HU.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_IE_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/IE.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_IE_res,2016,../AmBIENCe2ABM/data_sources/eurostat/IE.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_IT_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/IT.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_IT_res,2016,../AmBIENCe2ABM/data_sources/eurostat/IT.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_LT_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/LT.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_LT_res,2016,../AmBIENCe2ABM/data_sources/eurostat/LT.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_LU_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/LU.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_LU_res,2016,../AmBIENCe2ABM/data_sources/eurostat/LU.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_LV_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/LV.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_LV_res,2016,../AmBIENCe2ABM/data_sources/eurostat/LV.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_MT_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/MT.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_MT_res,2016,../AmBIENCe2ABM/data_sources/eurostat/MT.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_NL_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/NL.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_NL_res,2016,../AmBIENCe2ABM/data_sources/eurostat/NL.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_PL_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/PL.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_PL_res,2016,../AmBIENCe2ABM/data_sources/eurostat/PL.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_PT_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/PT.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_PT_res,2016,../AmBIENCe2ABM/data_sources/eurostat/PT.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_RO_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/RO.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_RO_res,2016,../AmBIENCe2ABM/data_sources/eurostat/RO.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_SE_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/SE.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_SE_res,2016,../AmBIENCe2ABM/data_sources/eurostat/SE.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_SI_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/SI.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_SI_res,2016,../AmBIENCe2ABM/data_sources/eurostat/SI.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_SK_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/SK.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_SK_res,2016,../AmBIENCe2ABM/data_sources/eurostat/SK.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
ext_2016_CH_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/CH.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"No AmBIENCe data, but Hotmaps and NUTS available."
ext_2016_CH_res,2016,../AmBIENCe2ABM/data_sources/eurostat/CH.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"No AmBIENCe data, but Hotmaps and NUTS available."
ext_2016_NO_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/NO.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"No AmBIENCe data, but Hotmaps and NUTS available."
ext_2016_NO_res,2016,../AmBIENCe2ABM/data_sources/eurostat/NO.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"No AmBIENCe data, but Hotmaps and NUTS available."
ext_2016_UK_nonres,2016,../AmBIENCe2ABM/data_sources/natural_earth/UK.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"No AmBIENCe or NUTS, but Hotmaps data available."
ext_2016_UK_res,2016,../AmBIENCe2ABM/data_sources/natural_earth/UK.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"No AmBIENCe or NUTS, but Hotmaps data available."
