loads,category,hour,domestic_hot_water_demand_gfa_scaling_W_m2,internal_heat_loads_gfa_scaling_W_m2,indoor_air_heating_set_point_override_K,indoor_air_cooling_set_point_override_K
central,res,0,0.74,3.9,289.23,293.12
central,res,1,0.56,3.9,289.86,293.12
central,res,2,0.46,3.9,290.75,293.12
central,res,3,0.36,3.9,291.7,293.12
central,res,4,0.59,3.9,292.5,293.12
central,res,5,1.46,3.9,293,293.12
central,res,6,4.26,3.25,293.12,293.12
central,res,7,6.49,3.81,292.9,293.12
central,res,8,5.64,3.81,292.45,293.12
central,res,9,4.88,2.8,291.94,293.12
central,res,10,4.67,2.8,291.55,293.12
central,res,11,4.47,3.08,291.4,293.12
central,res,12,4.73,3.08,291.55,293.12
central,res,13,4.18,3.2,291.94,293.12
central,res,14,3.39,3.2,292.45,293.12
central,res,15,2.99,2.92,292.9,293.12
central,res,16,3.37,3.25,293.12,293.12
central,res,17,3.31,3.81,293,293.12
central,res,18,4.77,3.81,292.5,293.12
central,res,19,4.27,4.43,291.7,293.12
central,res,20,3.43,4.43,290.75,293.12
central,res,21,3.19,4.43,289.86,293.12
central,res,22,2.36,4.18,289.23,293.12
central,res,23,1.34,4.18,289,293.12
central,nonres,0,0.74,0,289.1,291.7
central,nonres,1,0.56,0,289.16,291.7
central,nonres,2,0.46,0,289.43,291.7
central,nonres,3,0.36,0,289.87,291.7
central,nonres,4,0.59,0,290.4,291.7
central,nonres,5,1.46,0,290.93,291.7
central,nonres,6,4.26,0.34,291.37,291.7
central,nonres,7,6.49,2.03,291.64,291.7
central,nonres,8,5.64,7.95,291.7,291.7
central,nonres,9,4.88,11.99,291.57,291.7
central,nonres,10,4.67,11.15,291.3,291.7
central,nonres,11,4.47,10.81,290.97,291.7
central,nonres,12,4.73,5.29,290.66,291.7
central,nonres,13,4.18,10.35,290.44,291.7
central,nonres,14,3.39,10.46,290.33,291.7
central,nonres,15,2.99,10.49,290.33,291.7
central,nonres,16,3.37,7.27,290.4,291.7
central,nonres,17,3.31,2.7,290.47,291.7
central,nonres,18,4.77,2.75,290.47,291.7
central,nonres,19,4.27,1.93,290.36,291.7
central,nonres,20,3.43,1.8,290.14,291.7
central,nonres,21,3.19,0.88,289.83,291.7
central,nonres,22,2.36,0.55,289.5,291.7
central,nonres,23,1.34,0.28,289.23,291.7
nordic,res,0,0.74,3.9,293.15,293.15
nordic,res,1,0.56,3.9,293.15,293.15
nordic,res,2,0.46,3.9,293.15,293.15
nordic,res,3,0.36,3.9,293.15,293.15
nordic,res,4,0.59,3.9,293.15,293.15
nordic,res,5,1.46,3.9,293.15,293.15
nordic,res,6,4.26,3.25,293.15,293.15
nordic,res,7,6.49,3.81,293.15,293.15
nordic,res,8,5.64,3.81,293.15,293.15
nordic,res,9,4.88,2.8,293.15,293.15
nordic,res,10,4.67,2.8,293.15,293.15
nordic,res,11,4.47,3.08,293.15,293.15
nordic,res,12,4.73,3.08,293.15,293.15
nordic,res,13,4.18,3.2,293.15,293.15
nordic,res,14,3.39,3.2,293.15,293.15
nordic,res,15,2.99,2.92,293.15,293.15
nordic,res,16,3.37,3.25,293.15,293.15
nordic,res,17,3.31,3.81,293.15,293.15
nordic,res,18,4.77,3.81,293.15,293.15
nordic,res,19,4.27,4.43,293.15,293.15
nordic,res,20,3.43,4.43,293.15,293.15
nordic,res,21,3.19,4.43,293.15,293.15
nordic,res,22,2.36,4.18,293.15,293.15
nordic,res,23,1.34,4.18,293.15,293.15
nordic,nonres,0,0.74,0,289.1,291.7
nordic,nonres,1,0.56,0,289.16,291.7
nordic,nonres,2,0.46,0,289.43,291.7
nordic,nonres,3,0.36,0,289.87,291.7
nordic,nonres,4,0.59,0,290.4,291.7
nordic,nonres,5,1.46,0,290.93,291.7
nordic,nonres,6,4.26,0.34,291.37,291.7
nordic,nonres,7,6.49,2.03,291.64,291.7
nordic,nonres,8,5.64,7.95,291.7,291.7
nordic,nonres,9,4.88,11.99,291.57,291.7
nordic,nonres,10,4.67,11.15,291.3,291.7
nordic,nonres,11,4.47,10.81,290.97,291.7
nordic,nonres,12,4.73,5.29,290.66,291.7
nordic,nonres,13,4.18,10.35,290.44,291.7
nordic,nonres,14,3.39,10.46,290.33,291.7
nordic,nonres,15,2.99,10.49,290.33,291.7
nordic,nonres,16,3.37,7.27,290.4,291.7
nordic,nonres,17,3.31,2.7,290.47,291.7
nordic,nonres,18,4.77,2.75,290.47,291.7
nordic,nonres,19,4.27,1.93,290.36,291.7
nordic,nonres,20,3.43,1.8,290.14,291.7
nordic,nonres,21,3.19,0.88,289.83,291.7
nordic,nonres,22,2.36,0.55,289.5,291.7
nordic,nonres,23,1.34,0.28,289.23,291.7